id,profile_history,responses,profile_score,depth_score,consistency_score,progression_score,label
0,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.365, 'tag': 'proj_2'}, {'detail': 0.238, 'tag': 'proj_5'}, {'detail': 0.371, 'tag': 'proj_4'}]",0.6,0.325,0.3,0.3,1
1,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['Kafka', 'Kubernetes', 'SQL']}]","[{'detail': 0.838, 'tag': 'proj_2'}, {'detail': 0.76, 'tag': 'proj_2'}, {'detail': 0.803, 'tag': 'proj_2'}]",0.333,0.8,1.0,0.3,0
2,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python', 'NLP']}, {'timestamp': '2021-12', 'skills': ['Python', 'NLP', 'Docker']}]","[{'detail': 0.745, 'tag': 'proj_3'}, {'detail': 0.75, 'tag': 'proj_3'}, {'detail': 0.859, 'tag': 'proj_3'}]",0.333,0.785,1.0,1.0,0
3,"[{'timestamp': '2020-01', 'skills': ['AWS']}, {'timestamp': '2020-12', 'skills': ['AWS', 'Spark']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.332, 'tag': 'proj_5'}, {'detail': 0.444, 'tag': 'proj_1'}, {'detail': 0.407, 'tag': 'proj_5'}]",0.714,0.394,0.3,0.3,1
4,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka']}, {'timestamp': '2021-12', 'skills': ['Kafka', 'AWS']}]","[{'detail': 0.522, 'tag': 'proj_1'}, {'detail': 0.654, 'tag': 'proj_1'}, {'detail': 0.741, 'tag': 'proj_1'}]",0.5,0.639,1.0,1.0,0
5,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python', 'AWS']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.283, 'tag': 'proj_3'}, {'detail': 0.362, 'tag': 'proj_1'}, {'detail': 0.392, 'tag': 'proj_5'}]",0.714,0.346,0.3,1.0,1
6,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Machine Learning']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.49, 'tag': 'proj_2'}, {'detail': 0.339, 'tag': 'proj_3'}, {'detail': 0.482, 'tag': 'proj_2'}]",0.667,0.437,0.3,0.3,1
7,"[{'timestamp': '2020-01', 'skills': ['AWS']}, {'timestamp': '2020-12', 'skills': ['AWS', 'Spark']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.32, 'tag': 'proj_2'}, {'detail': 0.288, 'tag': 'proj_1'}, {'detail': 0.311, 'tag': 'proj_2'}]",0.667,0.306,0.3,0.3,1
8,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Docker']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.437, 'tag': 'proj_4'}, {'detail': 0.42, 'tag': 'proj_2'}, {'detail': 0.485, 'tag': 'proj_1'}]",0.714,0.447,0.3,0.3,1
9,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python']}, {'timestamp': '2021-12', 'skills': ['Python', 'SQL']}]","[{'detail': 0.624, 'tag': 'proj_2'}, {'detail': 0.867, 'tag': 'proj_2'}, {'detail': 0.743, 'tag': 'proj_2'}]",0.5,0.745,1.0,0.3,0
10,"[{'timestamp': '2020-01', 'skills': ['Kubernetes']}, {'timestamp': '2020-12', 'skills': ['Kubernetes', 'SQL']}, {'timestamp': '2021-12', 'skills': ['Kubernetes', 'SQL']}]","[{'detail': 0.653, 'tag': 'proj_3'}, {'detail': 0.628, 'tag': 'proj_3'}, {'detail': 0.707, 'tag': 'proj_3'}]",0.5,0.663,1.0,0.3,0
11,"[{'timestamp': '2020-01', 'skills': ['NLP']}, {'timestamp': '2020-12', 'skills': ['NLP', 'Deep Learning']}, {'timestamp': '2021-12', 'skills': ['NLP', 'Deep Learning', 'Docker']}]","[{'detail': 0.556, 'tag': 'proj_3'}, {'detail': 0.879, 'tag': 'proj_3'}, {'detail': 0.854, 'tag': 'proj_3'}]",0.333,0.763,1.0,0.3,0
12,"[{'timestamp': '2020-01', 'skills': ['NLP']}, {'timestamp': '2020-12', 'skills': ['NLP', 'SQL']}, {'timestamp': '2021-12', 'skills': ['NLP', 'SQL']}]","[{'detail': 0.894, 'tag': 'proj_2'}, {'detail': 0.628, 'tag': 'proj_2'}, {'detail': 0.851, 'tag': 'proj_2'}]",0.5,0.791,1.0,0.3,0
13,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'SQL']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'SQL', 'Kubernetes']}]","[{'detail': 0.75, 'tag': 'proj_1'}, {'detail': 0.73, 'tag': 'proj_1'}, {'detail': 0.789, 'tag': 'proj_1'}]",0.333,0.756,1.0,0.3,0
14,"[{'timestamp': '2020-01', 'skills': ['Deep Learning']}, {'timestamp': '2020-12', 'skills': ['Deep Learning', 'Spark']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.486, 'tag': 'proj_1'}, {'detail': 0.266, 'tag': 'proj_2'}, {'detail': 0.282, 'tag': 'proj_5'}]",0.714,0.345,0.3,0.3,1
15,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.263, 'tag': 'proj_4'}, {'detail': 0.359, 'tag': 'proj_2'}, {'detail': 0.341, 'tag': 'proj_5'}]",0.714,0.321,0.3,0.3,1
